"Date","Distro","Count"
2012-03-01,"Linux Ubuntu",1.004e+09
2012-03-01,"Linux Xubuntu",30000
2012-02-01,"Linux Arch",407000
2012-02-01,"Linux CentOS",1.48e+08
2012-02-01,"Linux Debian",1.9e+07
2012-02-01,"Linux Epiphany",4.9e+07
2012-02-01,"Linux Fedora",4.82e+08
2012-02-01,"Linux Gentoo",3.4e+07
2012-02-01,"Linux Kubuntu",6.7e+07
2012-02-01,"Linux Mandriva",1.43e+08
2012-02-01,"Linux Mint",1.46e+08
2012-02-01,"Linux Mips",1.3e+07
2012-02-01,"Linux Motor",410000
2012-02-01,"Linux openSUSE",30000
2012-02-01,"Linux Oracle",241000
2012-02-01,"Linux PCLinuxOS",470000
2012-02-01,"Linux Red Hat",1.64e+08
2012-02-01,"Linux Slackware",50000
2012-02-01,"Linux SUSE",3.25e+08
2012-02-01,"Linux Ubuntu",9.7e+08
2012-02-01,"Linux Xubuntu",30000
2012-01-01,"Linux Arch",451000
2012-01-01,"Linux CentOS",1.25e+08
2012-01-01,"Linux Debian",1.85e+08
2012-01-01,"Linux Epiphany",4.7e+07
2012-01-01,"Linux Fedora",5.14e+08
2012-01-01,"Linux Gentoo",3.7e+07
2012-01-01,"Linux Kubuntu",6.6e+07
2012-01-01,"Linux Mandriva",1.55e+08
2012-01-01,"Linux Mint",1.89e+08
2012-01-01,"Linux Mips",1.9e+07
2012-01-01,"Linux Motor",373000
2012-01-01,"Linux openSUSE",30000
2012-01-01,"Linux Oracle",231000
2012-01-01,"Linux PCLinuxOS",537000
2012-01-01,"Linux Red Hat",1.45e+08
2012-01-01,"Linux Slackware",48000
2012-01-01,"Linux SUSE",3.86e+08
2012-01-01,"Linux Ubuntu",9.47e+08
2012-01-01,"Linux Xubuntu",30000
2011-12-01,"Linux Arch",329000
2011-12-01,"Linux CentOS",1.45e+08
2011-12-01,"Linux Debian",1.86e+08
2011-12-01,"Linux Epiphany",4.6e+07
2011-12-01,"Linux Fedora",4.36e+08
2011-12-01,"Linux Gentoo",4.3e+07
2011-12-01,"Linux Kubuntu",8.2e+07
2011-12-01,"Linux Mandriva",1.6e+07
2011-12-01,"Linux Mint",1.92e+08
2011-12-01,"Linux Mips",1.5e+07
2011-12-01,"Linux Motor",422000
2011-12-01,"Linux openSUSE",30000
2011-12-01,"Linux Oracle",236000
2011-12-01,"Linux PCLinuxOS",688000
2011-12-01,"Linux Red Hat",1.29e+08
2011-12-01,"Linux Slackware",43000
2011-12-01,"Linux SUSE",3.97e+08
2011-12-01,"Linux Ubuntu",8.83e+08
2011-12-01,"Linux Xubuntu",30000
2011-11-01,"Linux Arch",333000
2011-11-01,"Linux CentOS",1.43e+08
2011-11-01,"Linux Debian",2.69e+08
2011-11-01,"Linux Epiphany",5.8e+07
2011-11-01,"Linux Fedora",5.34e+08
2011-11-01,"Linux Gentoo",5.6e+07
2011-11-01,"Linux Kubuntu",1.17e+08
2011-11-01,"Linux Mandriva",2.08e+08
2011-11-01,"Linux Mint",2.12e+08
2011-11-01,"Linux Mips",989000
2011-11-01,"Linux Motor",534000
2011-11-01,"Linux openSUSE",30000
2011-11-01,"Linux Oracle",230000
2011-11-01,"Linux PCLinuxOS",708000
2011-11-01,"Linux Red Hat",1.8e+07
2011-11-01,"Linux Slackware",52000
2011-11-01,"Linux SUSE",5e+07
2011-11-01,"Linux Ubuntu",6.9e+08
2011-11-01,"Linux Xubuntu",30000
2011-10-01,"Linux Arch",210000
2011-10-01,"Linux CentOS",1.23e+08
2011-10-01,"Linux Debian",2.57e+08
2011-10-01,"Linux Epiphany",5.5e+07
2011-10-01,"Linux Fedora",4.27e+08
2011-10-01,"Linux Gentoo",7.2e+07
2011-10-01,"Linux Kubuntu",1.25e+08
2011-10-01,"Linux Mandriva",1.75e+08
2011-10-01,"Linux Mint",1.73e+08
2011-10-01,"Linux Mips",720000
2011-10-01,"Linux Motor",540000
2011-10-01,"Linux openSUSE",30000
2011-10-01,"Linux Oracle",240000
2011-10-01,"Linux PCLinuxOS",660000
2011-10-01,"Linux Red Hat",1.61e+08
2011-10-01,"Linux Slackware",60000
2011-10-01,"Linux SUSE",4.28e+08
2011-10-01,"Linux Ubuntu",5.22e+08
2011-10-01,"Linux Xubuntu",30000
