"Date","Distro","Count"
2014-06-01,"Linux SUSE",5.8e+07
2014-06-01,"Linux Ubuntu",9.94e+08
2014-06-01,"Linux Xubuntu",30000
2014-05-01,"Linux Arch",148000
2014-05-01,"Linux CentOS",827000
2014-05-01,"Linux Debian",4.1e+07
2014-05-01,"Linux Epiphany",682000
2014-05-01,"Linux Fedora",1.03e+08
2014-05-01,"Linux Gentoo",1.5e+07
2014-05-01,"Linux Kubuntu",1.3e+07
2014-05-01,"Linux Mandriva",3.3e+07
2014-05-01,"Linux Mint",8.1e+07
2014-05-01,"Linux Mips",1.6e+07
2014-05-01,"Linux Motor",47000
2014-05-01,"Linux openSUSE",30000
2014-05-01,"Linux Oracle",51000
2014-05-01,"Linux PCLinuxOS",64000
2014-05-01,"Linux Red Hat",1.2e+07
2014-05-01,"Linux Slackware",41000
2014-05-01,"Linux SUSE",1.43e+08
2014-05-01,"Linux Ubuntu",1.082e+09
2014-05-01,"Linux Xubuntu",30000
2014-04-01,"Linux Arch",450000
2014-04-01,"Linux CentOS",954000
2014-04-01,"Linux Debian",4.9e+07
2014-04-01,"Linux Epiphany",639000
2014-04-01,"Linux Fedora",9.6e+07
2014-04-01,"Linux Gentoo",524000
2014-04-01,"Linux Kubuntu",955000
2014-04-01,"Linux Mandriva",3.6e+07
2014-04-01,"Linux Mint",9e+06
2014-04-01,"Linux Mips",1.6e+07
2014-04-01,"Linux Motor",59000
2014-04-01,"Linux openSUSE",30000
2014-04-01,"Linux Oracle",36000
2014-04-01,"Linux PCLinuxOS",59000
2014-04-01,"Linux Red Hat",1.4e+07
2014-04-01,"Linux Slackware",103000
2014-04-01,"Linux SUSE",8.2e+07
2014-04-01,"Linux Ubuntu",1.118e+09
2014-04-01,"Linux Xubuntu",30000
2014-03-01,"Linux CentOS",1.1e+07
2014-03-01,"Linux Debian",5.5e+07
2014-03-01,"Linux Epiphany",818000
2014-03-01,"Linux Fedora",9.7e+07
2014-03-01,"Linux Gentoo",454000
2014-03-01,"Linux Kubuntu",805000
2014-03-01,"Linux Mandriva",4e+06
2014-03-01,"Linux Mint",1.12e+08
2014-03-01,"Linux Mips",1.8e+07
2014-03-01,"Linux Motor",107000
2014-03-01,"Linux openSUSE",30000
2014-03-01,"Linux Oracle",282000
2014-03-01,"Linux PCLinuxOS",63000
2014-03-01,"Linux Red Hat",1.7e+07
2014-03-01,"Linux Slackware",52000
2014-03-01,"Linux SUSE",9.1e+07
2014-03-01,"Linux Ubuntu",1.244e+09
2014-03-01,"Linux Xubuntu",30000
2014-02-01,"Linux Arch",413000
2014-02-01,"Linux CentOS",1.3e+07
2014-02-01,"Linux Debian",5.2e+07
2014-02-01,"Linux Epiphany",960000
2014-02-01,"Linux Fedora",8.4e+07
2014-02-01,"Linux Gentoo",486000
2014-02-01,"Linux Kubuntu",559000
2014-02-01,"Linux Mandriva",3.6e+07
2014-02-01,"Linux Mint",1.09e+08
2014-02-01,"Linux Mips",1.7e+07
2014-02-01,"Linux Motor",68000
2014-02-01,"Linux openSUSE",30000
2014-02-01,"Linux Oracle",61000
2014-02-01,"Linux PCLinuxOS",71000
2014-02-01,"Linux Red Hat",1.8e+07
2014-02-01,"Linux Slackware",59000
2014-02-01,"Linux SUSE",9.2e+07
2014-02-01,"Linux Ubuntu",1.21e+09
2014-02-01,"Linux Xubuntu",30000
2014-01-01,"Linux Arch",520000
2014-01-01,"Linux CentOS",1.3e+07
2014-01-01,"Linux Debian",5.1e+07
2014-01-01,"Linux Epiphany",937000
2014-01-01,"Linux Fedora",8.4e+07
2014-01-01,"Linux Gentoo",410000
2014-01-01,"Linux Kubuntu",397000
2014-01-01,"Linux Mandriva",3.1e+07
2014-01-01,"Linux Mint",8.7e+07
2014-01-01,"Linux Mips",1.7e+07
2014-01-01,"Linux Motor",99000
2014-01-01,"Linux openSUSE",30000
2014-01-01,"Linux Oracle",46000
2014-01-01,"Linux PCLinuxOS",55000
2014-01-01,"Linux Red Hat",1.6e+07
2014-01-01,"Linux Slackware",58000
2014-01-01,"Linux SUSE",8.7e+07
2014-01-01,"Linux Ubuntu",1.034e+09
2014-01-01,"Linux Xubuntu",30000
2013-12-01,"Linux Arch",536000
2013-12-01,"Linux CentOS",1.3e+07
2013-12-01,"Linux Debian",6.7e+07
2013-12-01,"Linux Epiphany",792000
2013-12-01,"Linux Fedora",8.1e+07
2013-12-01,"Linux Gentoo",406000
2013-12-01,"Linux Kubuntu",623000
2013-12-01,"Linux Mandriva",3.3e+07
2013-12-01,"Linux Mint",8.8e+07
2013-12-01,"Linux Mips",2e+06
2013-12-01,"Linux Motor",74000
2013-12-01,"Linux openSUSE",30000
2013-12-01,"Linux Oracle",53000
2013-12-01,"Linux PCLinuxOS",58000
2013-12-01,"Linux Red Hat",1.5e+07
2013-12-01,"Linux Slackware",52000
2013-12-01,"Linux SUSE",8.7e+07
2013-12-01,"Linux Ubuntu",9.78e+08
2013-12-01,"Linux Xubuntu",30000
2013-11-01,"Linux Arch",114000
2013-11-01,"Linux CentOS",1.6e+07
2013-11-01,"Linux Debian",8.5e+07
2013-11-01,"Linux Epiphany",1.3e+07
2013-11-01,"Linux Fedora",1.2e+07
2013-11-01,"Linux Gentoo",532000
2013-11-01,"Linux Kubuntu",1.9e+07
2013-11-01,"Linux Mandriva",5.1e+07
2013-11-01,"Linux Mint",9.9e+07
2013-11-01,"Linux Mips",2.3e+07
2013-11-01,"Linux Motor",78000
2013-11-01,"Linux openSUSE",30000
2013-11-01,"Linux Oracle",65000
2013-11-01,"Linux PCLinuxOS",76000
2013-11-01,"Linux Red Hat",2.1e+07
2013-11-01,"Linux Slackware",47000
2013-11-01,"Linux SUSE",1.12e+08
2013-11-01,"Linux Ubuntu",1.183e+09
2013-11-01,"Linux Xubuntu",30000
2013-10-01,"Linux Arch",87000
2013-10-01,"Linux CentOS",2e+06
2013-10-01,"Linux Debian",7.8e+07
2013-10-01,"Linux Epiphany",1.6e+07
2013-10-01,"Linux Fedora",1.5e+07
2013-10-01,"Linux Gentoo",543000
2013-10-01,"Linux Kubuntu",1.8e+07
2013-10-01,"Linux Mandriva",5.2e+07
2013-10-01,"Linux Mint",9.7e+07
2013-10-01,"Linux Mips",2.3e+07
2013-10-01,"Linux Motor",86000
2013-10-01,"Linux openSUSE",30000
2013-10-01,"Linux Oracle",268000
2013-10-01,"Linux PCLinuxOS",99000
2013-10-01,"Linux Red Hat",2.4e+07
2013-10-01,"Linux Slackware",60000
2013-10-01,"Linux SUSE",1.13e+08
2013-10-01,"Linux Ubuntu",1.106e+09
2013-10-01,"Linux Xubuntu",30000
2013-09-01,"Linux Arch",114000
2013-09-01,"Linux CentOS",1.9e+07
2013-09-01,"Linux Debian",5.9e+07
2013-09-01,"Linux Epiphany",1.1e+07
2013-09-01,"Linux Fedora",1.41e+08
2013-09-01,"Linux Gentoo",562000
2013-09-01,"Linux Kubuntu",1.8e+07
2013-09-01,"Linux Mandriva",5.8e+07
2013-09-01,"Linux Mint",1.03e+08
2013-09-01,"Linux Mips",2.3e+07
2013-09-01,"Linux Motor",92000
2013-09-01,"Linux openSUSE",30000
2013-09-01,"Linux Oracle",92000
2013-09-01,"Linux PCLinuxOS",143000
2013-09-01,"Linux Red Hat",2.6e+07
2013-09-01,"Linux Slackware",53000
2013-09-01,"Linux SUSE",1.12e+08
2013-09-01,"Linux Ubuntu",1.033e+09
2013-09-01,"Linux Xubuntu",30000
2013-08-01,"Linux Arch",338000
2013-08-01,"Linux CentOS",2.5e+07
2013-08-01,"Linux Debian",5.6e+07
2013-08-01,"Linux Epiphany",1.2e+07
2013-08-01,"Linux Fedora",1.39e+08
2013-08-01,"Linux Gentoo",516000
2013-08-01,"Linux Kubuntu",1.6e+07
2013-08-01,"Linux Mandriva",5.6e+07
2013-08-01,"Linux Mint",9e+06
2013-08-01,"Linux Mips",1.9e+07
2013-08-01,"Linux Motor",101000
2013-08-01,"Linux openSUSE",30000
2013-08-01,"Linux Oracle",76000
2013-08-01,"Linux PCLinuxOS",107000
2013-08-01,"Linux Red Hat",2.2e+07
2013-08-01,"Linux Slackware",53000
2013-08-01,"Linux SUSE",1.01e+08
2013-08-01,"Linux Ubuntu",9.21e+08
2013-08-01,"Linux Xubuntu",30000
2013-07-01,"Linux Arch",439000
2013-07-01,"Linux CentOS",2.4e+07
2013-07-01,"Linux Debian",5.7e+07
2013-07-01,"Linux Epiphany",1.2e+07
2013-07-01,"Linux Fedora",1.51e+08
2013-07-01,"Linux Gentoo",545000
2013-07-01,"Linux Kubuntu",905000
2013-07-01,"Linux Mandriva",4.3e+07
2013-07-01,"Linux Mint",9.2e+07
2013-07-01,"Linux Mips",1.3e+07
2013-07-01,"Linux Motor",102000
2013-07-01,"Linux openSUSE",30000
2013-07-01,"Linux Oracle",114000
2013-07-01,"Linux PCLinuxOS",114000
2013-07-01,"Linux Red Hat",2.3e+07
2013-07-01,"Linux Slackware",53000
2013-07-01,"Linux SUSE",1.03e+08
2013-07-01,"Linux Ubuntu",8.8e+08
2013-07-01,"Linux Xubuntu",30000
2013-06-01,"Linux Arch",421000
2013-06-01,"Linux CentOS",2.6e+07
2013-06-01,"Linux Debian",7.5e+07
2013-06-01,"Linux Epiphany",1.3e+07
2013-06-01,"Linux Fedora",1.81e+08
2013-06-01,"Linux Gentoo",716000
2013-06-01,"Linux Kubuntu",2e+06
2013-06-01,"Linux Mandriva",6.7e+07
2013-06-01,"Linux Mint",1.19e+08
2013-06-01,"Linux Mips",1.6e+07
2013-06-01,"Linux Motor",98000
2013-06-01,"Linux openSUSE",30000
2013-06-01,"Linux Oracle",233000
2013-06-01,"Linux PCLinuxOS",175000
2013-06-01,"Linux Red Hat",3e+06
2013-06-01,"Linux Slackware",58000
2013-06-01,"Linux SUSE",1.33e+08
2013-06-01,"Linux Ubuntu",1.161e+09
2013-06-01,"Linux Xubuntu",30000
2013-05-01,"Linux Arch",276000
2013-05-01,"Linux CentOS",2.7e+07
2013-05-01,"Linux Debian",7.8e+07
2013-05-01,"Linux Epiphany",1.4e+07
2013-05-01,"Linux Fedora",1.83e+08
2013-05-01,"Linux Gentoo",766000
2013-05-01,"Linux Kubuntu",2e+06
2013-05-01,"Linux Mandriva",6.6e+07
2013-05-01,"Linux Mint",1.1e+07
2013-05-01,"Linux Mips",1.2e+07
2013-05-01,"Linux Motor",122000
2013-05-01,"Linux openSUSE",30000
2013-05-01,"Linux Oracle",163000
2013-05-01,"Linux PCLinuxOS",148000
2013-05-01,"Linux Red Hat",2.6e+07
2013-05-01,"Linux Slackware",80000
2013-05-01,"Linux SUSE",1.41e+08
2013-05-01,"Linux Ubuntu",1.131e+09
2013-05-01,"Linux Xubuntu",30000
2013-04-01,"Linux Arch",290000
2013-04-01,"Linux CentOS",3.2e+07
2013-04-01,"Linux Debian",9.1e+07
2013-04-01,"Linux Epiphany",1.4e+07
2013-04-01,"Linux Fedora",2.06e+08
2013-04-01,"Linux Gentoo",750000
2013-04-01,"Linux Kubuntu",2.5e+07
2013-04-01,"Linux Mandriva",6.5e+07
2013-04-01,"Linux Mint",1.09e+08
2013-04-01,"Linux Mips",1.1e+07
2013-04-01,"Linux Motor",180000
2013-04-01,"Linux openSUSE",30000
2013-04-01,"Linux Oracle",130000
2013-04-01,"Linux PCLinuxOS",190000
2013-04-01,"Linux Red Hat",3.3e+07
2013-04-01,"Linux Slackware",70000
2013-04-01,"Linux SUSE",1.69e+08
2013-04-01,"Linux Ubuntu",1.104e+09
2013-04-01,"Linux Xubuntu",30000
2013-03-01,"Linux Arch",312000
2013-03-01,"Linux CentOS",3.1e+07
2013-03-01,"Linux Debian",1e+07
2013-03-01,"Linux Epiphany",1.7e+07
2013-03-01,"Linux Fedora",1.87e+08
2013-03-01,"Linux Gentoo",907000
2013-03-01,"Linux Kubuntu",2e+06
2013-03-01,"Linux Mandriva",7.4e+07
2013-03-01,"Linux Mint",1.12e+08
2013-03-01,"Linux Mips",1.9e+07
2013-03-01,"Linux Motor",133000
2013-03-01,"Linux openSUSE",30000
2013-03-01,"Linux Oracle",150000
2013-03-01,"Linux PCLinuxOS",168000
2013-03-01,"Linux Red Hat",3.1e+07
2013-03-01,"Linux Slackware",66000
2013-03-01,"Linux SUSE",1.73e+08
2013-03-01,"Linux Ubuntu",1.128e+09
2013-03-01,"Linux Xubuntu",30000
2013-02-01,"Linux Arch",273000
2013-02-01,"Linux CentOS",4.9e+07
2013-02-01,"Linux Debian",1.01e+08
2013-02-01,"Linux Epiphany",1.8e+07
2013-02-01,"Linux Fedora",1.67e+08
2013-02-01,"Linux Gentoo",961000
2013-02-01,"Linux Kubuntu",1.5e+07
2013-02-01,"Linux Mandriva",6.8e+07
2013-02-01,"Linux Mint",1.14e+08
2013-02-01,"Linux Mips",2e+06
2013-02-01,"Linux Motor",166000
2013-02-01,"Linux openSUSE",30000
2013-02-01,"Linux Oracle",250000
2013-02-01,"Linux PCLinuxOS",181000
2013-02-01,"Linux Red Hat",3.3e+07
2013-02-01,"Linux Slackware",57000
2013-02-01,"Linux SUSE",1.82e+08
2013-02-01,"Linux Ubuntu",1.081e+09
2013-02-01,"Linux Xubuntu",30000
2013-01-01,"Linux Arch",251000
2013-01-01,"Linux CentOS",3.9e+07
2013-01-01,"Linux Debian",1.05e+08
2013-01-01,"Linux Epiphany",2e+06
2013-01-01,"Linux Fedora",1.76e+08
2013-01-01,"Linux Gentoo",1.1e+07
2013-01-01,"Linux Kubuntu",1.3e+07
2013-01-01,"Linux Mandriva",7.9e+07
2013-01-01,"Linux Mint",1.17e+08
2013-01-01,"Linux Mips",1.3e+07
