"package","D.Obs","P0","P1"
"caca.utils",0.744407524846481,0.44,0.44
"capplets.data",1.08207199746947,0.4125,0.4725
"catdoc",2.29484639948864,0.0125,0.9425
"ccal",1.14104946164252,0.405,0.49
"ccdiso",1.21190696284619,0.2325,0.5925
"ccrypt",1.39206306827803,0.18,0.5875
"cdbackup",1.19772111060954,0.375,0.5075
"cddb",1.20342849064063,0.3925,0.47
"cdrecord",-1.05236698201909,0.77,0.0425
"check",1.91203795802595,0.155,0.715
"checkmem",1.10912092513973,0.3625,0.4775
"cheops",0.995284571527425,0.38,0.4575
"chkrootkit",1.53525813247073,0.125,0.715
"cli.common",0.678545054773239,0.2025,0.2275
"clive",0.814540822096886,0.3775,0.4625
"clive.utils",0.958919777527947,0.395,0.47
"cloop.module",0.936216078819365,0.4075,0.47
"cmap.adobe.cns",0.955767094571686,0.395,0.4675
"cmap.adobe.gb",1.29711178716927,0.3525,0.5075
"colorgcc",0.947970700180871,0.3825,0.48
"compiz",1.27401070558838,0.055,0.6725
"compizconfig.backend.gconf",0.650271954959703,0.35,0.4275
"compizconfig.backend.kconfig",1.07430499983085,0.3575,0.47
"compiz.dev",0.965622118568112,0.3725,0.455
"compiz.gnome",1.24845097181091,0.035,0.6525
"compiz.kde",0.914066991035983,0.365,0.4775
"configure.xawtv",1.21531645158358,0.3875,0.5275
"console.terminus",2.98759395674426,0.0225,0.93
"convmv",-1.72955643571114,0.8075,0.085
"cpuburn",-0.994238856680508,0.7425,0.08
"cramfsprogs",1.01920896984107,0.2875,0.4975
"csh",1.03592523354048,0.24,0.515
"cupsconfig.knoppix",0.477865736914858,0.4175,0.4025
"cups.dbg",1.1511540519993,0.3975,0.5025
"cupsddk",-1.39815248587941,0.8,0.0875
"cupsddk.drivers",0.964301917520793,0.395,0.465
"cups.pdf",0.225568308292539,0.475,0.1775
"cupsys",1.57614682170947,0.4125,0.545
"cupsys.bsd",0.94429994623377,0.4125,0.455
"cupsys.client",0.844916966613293,0.4375,0.4525
"cupsys.common",1.20603638280611,0.4175,0.505
"cupsys.dbg",1.17543211313959,0.405,0.4925
"dante.client",0.997343214912351,0.4,0.4675
"datefudge",0.900989522573995,0.425,0.4475
"ddcxinfo.knoppix",0.887596361390566,0.3825,0.4225
"dd.rescue",0.922878224572453,0.4,0.4925
"debsums",0.754959653988594,0.3575,0.4475
"defrag",0.930812745589445,0.4025,0.46
"deskbar.applet",1.24106401136313,0.39,0.49
"devhelp.common",-0.00718975235278159,0.5425,0.175
"devicedfx.source",0.964818352399353,0.3825,0.4375
"dhcdbd",0.802666126010117,0.3975,0.47
"dhcp.common",0.914132988627865,0.265,0.495
"dh.make",-4.44233037926507,0.99,0
"dict",0.949813396223334,0.39,0.4575
"dietlibc.dev",0.71084097037647,0.4225,0.435
"diff",0.961378581727289,0.2975,0.5225
"distcc",0.447702113772285,0.435,0.39
"dlint",0.807675828522521,0.39,0.4375
"dlocate",0.882087067563741,0.395,0.4325
"doc.base",0.202788106038065,0.44,0.025
"dolphin",0.250005330833881,0.465,0.105
"dselect",0.818809772442924,0.405,0.435
"dump",-0.246651970601264,0.5725,0.195
"dupload",0.884313083600679,0.415,0.495
"dvdbackup",0.844497398526422,0.415,0.4525
"dvdrtools",-1.40916221621617,0.7725,0.1
"dvd.slideshow",1.11888023227022,0.2075,0.5575
"dvdwizard",1.1289007641069,0.3875,0.495
"dvipdfmx",0.823524454654586,0.4025,0.44
"dx",0.871265995043667,0.4175,0.435
"dx.common",0.925174773200131,0.375,0.445
"efax",1.19569140380665,0.385,0.48
"efax.gtk",0.930289681711055,0.3775,0.445
"effectv",1.76405602297352,0.175,0.6725
"elisa",0.933946459714482,0.36,0.45
"elisa.plugins.bad",0.962307015059508,0.41,0.4375
"elisa.plugins.good",1.261382857348,0.4375,0.4975
"elisa.plugins.ugly",1.16177039547289,0.4075,0.495
"emerald.dbg",0.912653310522566,0.4225,0.4525
"emerald.themes",1.17379846609432,0.3825,0.48
"emovix",1.00168745122635,0.37,0.4575
"enscript",0.453714237334624,0.4225,0.355
"epson.alc",-2.25041917158679,0.925,0.01
"escputil",1.20437966847704,0.365,0.5075
"esound",1.27374910914123,0.38,0.505
"esound.clients",0.885152381545318,0.2725,0.4625
"espeak.data",0.892345394551243,0.0975,0.345
"etcskel.knoppix",0.939820902577229,0.3775,0.4325
"etherwake",0.290088221390177,0.44,0.285
"evince",0.971878413027339,0.065,0.4275
"evolution.data.server",1.07600488777489,0.0525,0.55
"evolution.data.server.common",1.33615476681564,0.01,0.8575
"expect",-0.342747898482362,0.6425,0.18
"exuberant.ctags",1.11547693529039,0.1625,0.5575
"fbi",-0.252822718028107,0.61,0.1075
"fb.music.high",0.692954516389806,0.4325,0.435
"fbset",-0.014995053953193,0.525,0.2075
"fbterm",0.843498235819518,0.3375,0.48
"fceu",1.10359721401908,0.3975,0.495
"fdflush",0.775650665563716,0.45,0.4225
"fdisk.udeb",0.907180797287236,0.355,0.465
"fdutils",-1.06728004530227,0.775,0.0525
"festival",0.189382971905035,0.4825,0.1825
"festlex.cmu",0.17975383823647,0.4675,0.2125
"festlex.poslex",0.236762595575845,0.4625,0.2075
"festvox.kallpck",-0.657159881480902,0.725,0.085
"fetchmail",0.896385732203011,0.41,0.47
"ffmpegtheora",0.766826851834913,0.2825,0.3975
"fileutils",1.03412792211667,0.4,0.475
"finger",0.722071223409582,0.21,0.275
"foomatic.db",0.108789867354354,0.5125,0.035
"foomatic.db.engine",0.236969521241052,0.44,0.045
"foomatic.db.gutenprint",0.717155599814718,0.28,0.3525
"foomatic.db.hpijs",0.959864956942664,0.3475,0.4525
"foomatic.filters",0.274380060849604,0.43,0.0675
"foomatic.filters.ppds",0.879220485711277,0.3875,0.435
"foomatic.gui",0.932315441189641,0.375,0.47
"foremost",1.13803023682835,0.0775,0.5925
"fping",1.44944892932239,0.1725,0.63
"freetds.common",0.959890611452074,0.405,0.47
"freetype.tools",1.37683925558789,0.405,0.49
"freir",0.781102175214693,0.42,0.42
"frozen.bubble",1.49756519829445,0.03,0.7575
"frozen.bubble.data",1.58880387714481,0.0625,0.7625
"gaim",0.971601477136696,0.38,0.4325
"gaim.data",0.883260646448471,0.4,0.4375
"gcalctool",0.542955561381477,0.2875,0.15
"gcin",0.959714883070126,0.425,0.455
"gcin.qt.immodule",0.933999890947381,0.36,0.465
"gcj",0.657430775375846,0.3325,0.3775
"gcompris",0.50340936235952,0.37,0.25
"gcompris.data",0.490425200254815,0.375,0.2525
"gcompris.sound.en",0.636576218511187,0.29,0.3275
"gconf.editor",-0.780788736308388,0.7725,0.05
"gdk.imlib",-1.93346287433731,0.8875,0.0175
"gdm",0.58959698976685,0.2725,0.16
"gdm.themes",1.1315048087948,0.395,0.495
"genliloconf",0.843178433855861,0.4425,0.4375
"gfxboot",0.98024103316194,0.305,0.4875
"ghostscript.x",-0.0743467665480035,0.5675,0.0025
"giflib.bin",0.98580047340132,0.4,0.48
"giflibg",1.04025541637493,0.4025,0.4875
"gifpng",0.98085078334063,0.39,0.4675
"giftrans",0.996197965500637,0.405,0.455
"giver",0.84348921907893,0.4025,0.455
"glade",-1.52273760598223,0.7675,0.0725
"glade.common",1.26225263677058,0.3525,0.49
"glade.gnome",0.78657890215386,0.4,0.4725
"gmailfs",0.742682788884541,0.415,0.4225
"gnome.about",0.767096366709027,0.4025,0.445
"gnome.app.install",0.673797203517813,0.345,0.43
"gnome.applets",0.508255618118282,0.305,0.12
"gnome.applets.data",0.496560550102017,0.3175,0.17
"gnome.applets.dbg",0.823562820285282,0.3675,0.4125
"gnomebaker",0.915231183280493,0.42,0.465
"gnome.bin",0.91572975404927,0.3975,0.455
"gnome.codec.install",1.48726231021822,0.2025,0.63
"gnome.control.center",1.23120428356547,0.045,0.695
"gnome.desktop.data",-0.22518766542645,0.6825,0.0075
"gnome.doc.tools",0.839113016561965,0.3375,0.44
"gnome.libs.data",0.917153485042512,0.37,0.465
"gnome.main.menu",0.902257442164181,0.3725,0.475
"gnome.media",0.643317644941257,0.2075,0.19
"gnome.media.common",4.37192788222255,0.0275,0.94
"gnome.menus",1.03718126186723,0.06,0.5225
"gnome.mount",0.958915834822051,0.35,0.465
"gnome.netstatus.applet",0.800859873471292,0.405,0.4275
"gnome.nettool",0.407239576234743,0.39,0.14
"gnome.panel",0.52270694863014,0.28,0.1175
"gnome.panel.data",0.5535146020141,0.275,0.16
"gnome.power.manager",1.05010856247636,0.065,0.515
"gnome.session",0.998545295509877,0.0725,0.4825
"gnome.system.monitor",1.1461391402217,0.04,0.62
"gnome.system.tools",0.260536921422329,0.4025,0.03
"gnome.terminal",1.209388414151,0.025,0.7
"gnome.terminal.data",1.2410712244623,0.0125,0.7475
"gnome.themes",1.50102251415142,0.1075,0.665
"gnome.utils",0.779861302096468,0.3525,0.4325
"gnome.vfs.httpcaptive",1.05499416372482,0.3925,0.4625
"gnome.volume.manager",0.870538715583115,0.4075,0.4325
"gnucap",0.550656042607864,0.39,0.3675
"gnuplot",0.629921896678065,0.3,0.3075
"gnuplot.nox",-0.502138543352422,0.71,0.0775
"gnuplot.x",-0.42657374041524,0.715,0.035
"goats",0.855481121552742,0.4225,0.4325
"gocr",-0.879011341331918,0.7275,0.075
"gpart",-0.34411269111742,0.6875,0.0525
"gphoto",1.04948280872444,0.4175,0.45
"gprsconnect.knoppix",0.492384261558769,0.4075,0.3675
"grandr",1.09221589281855,0.4125,0.4775
"grdesktop",0.990355464613326,0.3725,0.46
"grep.dctrl",1.12551059734475,0.39,0.465
"groff",-0.60997498859275,0.735,0.025
"gromit",1.27040809819021,0.305,0.545
"gs",-1.25341308110187,0.765,0.0975
"gscanbus",1.158271207785,0.3775,0.505
"gs.common",-1.26738466342698,0.74,0.1075
"gs.esp",-1.71468962228561,0.765,0.0975
"gsm.utils",0.842006906730422,0.4025,0.4425
"gtk.engines.crux",0.975393627634835,0.39,0.4375
"gtk.engines.geramik",0.843006063701591,0.45,0.4425
"gtk.engines.geramik.data",0.899914272915245,0.3975,0.4375
"gtk.engines.industrial",1.05461995142291,0.4125,0.465
"gtk.engines.lighthouseblue",0.841985968643355,0.3975,0.4475
"gtk.engines.qtpixmap",1.02597350280315,0.405,0.4725
"gtk.engines.redmond",-1.70066614102357,0.845,0.0375
"gtk.engines.smooth",0.922000273704208,0.415,0.485
"gtk.engines.spherecrystal",0.805331068395208,0.39,0.4175
"gtk.engines.thinice",1.03095435977777,0.4125,0.4775
"gtk.ex.formfactory.perl",1.24374759825026,0.38,0.475
"gtkhtml",1.0290744711785,0.4175,0.4725
"gtk.qt.engine",0.894640163437067,0.38,0.4475
"gtk.shell",0.944500069462402,0.3575,0.43
"gtweakui",1.05194439196055,0.41,0.465
"gucharmap",0.857433602311202,0.125,0.265
"gwenview",0.292110797744156,0.4525,0.125
"hal.cups.utils",1.18333328018608,0.4075,0.495
"hashalot",1.0038984207789,0.4,0.47
"hddtemp",0.463898000643537,0.3375,0.1225
"heirloom.mailx",0.949118715807229,0.1125,0.41
"hermes",0.737805232017547,0.35,0.44
"hinedo",1.00006537339698,0.4,0.4725
"hostapd",-0.130651668390441,0.55,0.1825
"hostap.utils",-1.20407455777659,0.7625,0.1025
"hotplug.knoppix",1.01200707389838,0.3475,0.4825
"hotplug.utils",0.884217219597615,0.38,0.45
"hpijs",1.24685132677308,0.1375,0.6025
"hpijs.ppds",0.345220716986727,0.4325,0.1475
"hping",1.11691142349487,0.3025,0.56
"htdig",0.826664434215792,0.4275,0.4525
"html.format",0.797982555757556,0.4075,0.4225
"httptunnel",0.357254122628214,0.495,0.3725
"hunt",0.940045700595197,0.3925,0.4525
"hwdata.knoppix",0.935418432669929,0.425,0.47
"hwsetup",0.468518320844655,0.4475,0.3875
"iat",1.05082786727598,0.4625,0.4525
"icedove",0.750889085663172,0.2675,0.355
"icedove.ln.zh.tw",2.72040270517632,0.16,0.7825
"iceweasel.ln.zh.tw",1.00991319446147,0.4025,0.5075
"id",1.65629083575023,0.1075,0.7225
"idtool",0.911977473712509,0.42,0.445
"ijsgutenprint",-0.0610285860524463,0.5825,0.0375
"imagemagick.doc",1.09468473025762,0.3675,0.495
"imagination",1.1456047387144,0.265,0.5525
"imlib",-2.01735232656746,0.87,0.0225
"imlib.base",1.06629130474072,0.3875,0.4925
"imlib.progs",1.03803264109557,0.395,0.4525
"im.switch",-0.436356600302173,0.7575,0.02
"indi",1.1201723467885,0.4125,0.5175
"industrial.cursor.theme",1.02242956896785,0.39,0.4675
"initrd.tools",1.15064589177589,0.3925,0.495
"ipchains",1.2407799119363,0.4025,0.485
"ipsec.tools",0.000167038139333032,0.515,0.185
"iputils.arping",-0.267541197296718,0.675,0.005
"ipx",0.850133908564538,0.4425,0.4725
"irb",0.880275870534725,0.38,0.435
"irda.common",1.05864284535147,0.395,0.5
"irda.tools",1.00904269099117,0.3775,0.4725
"isapnptools",0.716874395545357,0.405,0.41
"isomaster",1.21176848529544,0.2375,0.58
"italc.client",0.757970184571232,0.4325,0.4175
"italc.master",1.30233247783088,0.415,0.5
"jfbterm",-0.519948056409627,0.6175,0.16
"jhead",1.49288831854885,0.215,0.635
"joystick",-1.20398398635963,0.7775,0.0675
"kalzium",-1.89145473141708,0.9325,0
"kalzium.data",-1.4167396040047,0.8925,0
"kamera",0.39653219176377,0.3775,0.1525
"kanagram",-1.38108387378215,0.915,0.0025
"kappfinder",0.813309801622036,0.41,0.44
"karm",0.963828566490364,0.4225,0.455
"kate",1.06758046098877,0.07,0.55
"katomic",-3.39462785388125,0.9775,0
"kb",0.517435178993459,0.31,0.175
"kb.data",0.516148561582567,0.3175,0.1925
"kbdconfig",1.17249664491564,0.4,0.485
"kb.in",1.06786748521281,0.105,0.5425
"kbruch",-2.62625820585015,0.975,0
"kcalc",0.223501245804026,0.44,0.1025
"kchmviewer",0.245440527394923,0.47,0.3575
"kcopy",0.97965952836079,0.3925,0.495
"kcron",0.888277201010826,0.375,0.4575
"kdebase",0.900008497678271,0.4275,0.4525
"kdebase.apps",0.885622239133907,0.3825,0.47
"kdebase.bin",0.990520691464711,0.4325,0.45
"kdebase.data",1.35547732374001,0.3825,0.4875
"kdebase.kio.plugins",0.845843333845417,0.385,0.435
"kdebase.workspace",0.878171651661694,0.385,0.4575
"kdebase.workspace.bin",-1.26661189390314,0.705,0.0975
"kdebase.workspace.data",0.901319331491172,0.375,0.4875
"kdebase.workspace.kgreet.plugins",1.10242317611785,0.3725,0.4925
"kdebluetooth",0.948175442298017,0.3975,0.445
"kdeedu.data",0.522346252577876,0.395,0.375
"kdeedu.kvtml.data",-1.31373078984053,0.87,0.0025
"kdeeject",0.93878681001081,0.41,0.465
"kdegraphics.kfile.plugins",0.882719929903465,0.4225,0.4475
"kde.icons.oxygen",1.11135877579491,0.435,0.4775
"kdelibs",-1.86757105363983,0.8525,0.03
"kde.ln.zhtw",0.827695763284084,0.405,0.42
"kdelock.knoppix",1.07446680150702,0.3925,0.4825
"kde.menu.knoppix",1.20397873897825,0.3725,0.5
"kde.minimal",0.874997749135236,0.3925,0.4325
"kdemultimedia.kio.plugins",0.745171146899862,0.2325,0.3475
"kdenlive.data",0.31794554529567,0.375,0.1375
"kdepasswd",-1.06857208429708,0.85,0.02
"kdepimlibs",1.30746418111402,0.4375,0.4825
"kdepimlibs.data",2.10011227965315,0.0425,0.83
"kdeprint",0.895191154628992,0.4025,0.455
"kdesudo",1.54208051265334,0.065,0.7625
"kde.window.manager",-1.26547005000151,0.9325,0
"kdm",-0.594213569877662,0.7075,0.065
"kdoc",0.789526779862955,0.4225,0.46
"keduca",0.770343534111373,0.4275,0.4575
"keyboard.tr.knoppix",1.31574343143412,0.4,0.5175
"keynav",0.771317118447059,0.405,0.44
"kfilereplace",0.767519536542292,0.4175,0.43
"kfind",-0.46732282768839,0.715,0.04
"kgeography",-1.28115275155998,0.8825,0.005
"kgeography.data",-1.36897932181567,0.9025,0.005
"kget",-1.37088734863766,0.855,0.0075
"kgpg",-2.77017635595876,0.9575,0.0025
"khelpcenter",1.05646744809948,0.065,0.56
"kinfocenter",1.51185399685419,0.0625,0.7475
"kino",1.00038165901196,0.2775,0.5175
"kino.brightness.contrast.plugin",0.935232968228018,0.4175,0.47
"kino.hsv.color.space.plugin",0.9440777562214,0.345,0.46
"kipi.plugins",1.00639416493404,0.4225,0.47
"kismet",1.91487461191986,0.0825,0.775
"klipper",-0.540005333423162,0.7025,0.065
"klogd",1.00904352965852,0.37,0.4775
"kmix",-2.16429597767882,0.92,0.0075
"kmplot",-3.11634257140671,0.985,0
"knetworkconf",1.06582114496291,0.4,0.465
"knockd",0.891896326989284,0.4175,0.4675
"knoppix.bookmarks",1.22920828811048,0.4225,0.5025
"knoppix.customize",1.09388688191669,0.4075,0.475
"knoppix.graphics",0.975597302308847,0.4125,0.4725
"knoppix.menu",0.853295724100537,0.395,0.4375
"knoppix.remountrw",1.06755558598005,0.455,0.4725
"knoppix.sounds",0.488390054490143,0.3925,0.365
"knoppix.splash.utils",0.978282442676349,0.385,0.4425
"knotes",0.719669300011273,0.205,0.3225
"knx.alsa",0.953200900396227,0.3475,0.445
"knx.live.inst",1.09974475531558,0.3975,0.5125
"kolourpaint",-0.296897287229373,0.6675,0.045
"kommander",-3.11950589975135,0.9825,0
"konqueror",-0.817525467893097,0.7925,0.025
"konqueror.nsplugins",0.589189742139253,0.3325,0.3175
"konsole",0.347151101100785,0.3925,0.11
"kopete",1.15079193112751,0.1525,0.55
"kpackage",1.02714038988255,0.4125,0.47
"kpager",1.05578464224921,0.4175,0.5225
"kphone",0.977642270204621,0.44,0.465
"kppp",0.301746759243782,0.4475,0.3
"krdc",0.791456529520937,0.205,0.3525
"krecord",1.27323572352862,0.3725,0.5225
"krename",0.993400752193563,0.4375,0.4475
"krfb",-1.26224721985492,0.8625,0.01
"ksnapshot",0.0984905710580587,0.5275,0.0475
"kstars",-3.52417115665991,0.9775,0
"kstars.data",-2.68657264392551,0.975,0
"ksudoku",-1.6677633052315,0.8625,0.0125
"ksvg",0.857161465985676,0.37,0.42
"ksysguard",1.13715404380206,0.105,0.565
"ksysguardd",1.13348416577767,0.09,0.59
"ktorrent",1.92286579453221,0.025,0.8675
"ktorrent.data",2.03711388077193,0.0075,0.9125
"ktouch",-2.63268175520335,0.96,0
"kuser",-0.0665439200510499,0.56,0.1525
"kwrite",-1.99064932348823,0.915,0
"larswm",0.923575451630717,0.44,0.46
"latex.xft.fonts",0.718726899869224,0.4275,0.465
"lbreakout",4.59930200814516,0.02,0.935
"lbreakout.data",4.02959665560572,0.0175,0.955
"lesstif",-1.93492571822508,0.8525,0.0225
"lftp",-0.108954352641884,0.615,0.0225
"lha",-1.50214766833766,0.785,0.1075
"libadns",0.870101516952865,0.395,0.4425
"libakonadiprivate",1.0430418312436,0.46,0.4575
"libamrnb",1.05603518747199,0.375,0.4625
"libamrwb",0.940188029956351,0.38,0.475
"libanyevent.perl",1.69384418176248,0.135,0.71
"libapache.ruby",0.808569293821508,0.4,0.455
"libaprutil.dbd.mysql",0.869083209983277,0.4225,0.4525
"libaprutil.ldap",0.354221646909882,0.37,0.0875
"libart.ruby",0.96662392271252,0.385,0.4775
"libarts",-2.09309079509188,0.8725,0.0375
"libaudclient",0.985138670603369,0.0925,0.4525
"libaudcore",0.672272210630995,0.2075,0.1725
"libaudidtag",1.01712015495962,0.42,0.435
"libaudutil",0.889286116024095,0.3375,0.465
"libavahi",1.17135436345912,0.425,0.475
"libavahi.compat.howl",0.90778111844135,0.36,0.4525
"libavahi.qt",0.960140685478406,0.4325,0.4875
"libavcodecd",1.08711658368189,0.395,0.475
"libavformatd",1.30084742274224,0.4075,0.5375
"libavifile",1.12659446680956,0.43,0.4575
"libavutild",1.2684209132006,0.37,0.4825
"libbeagle",0.922530098974777,0.34,0.445
"libbeecrypt",0.893139236993889,0.3925,0.4375
"libbinioldbl",1.16137353525484,0.085,0.6075
"libbreakpoint.ruby",1.46803826134082,0.4125,0.53
"libbrlapi",0.718619195261408,0.17,0.185
"libbtctl",0.9647370079146,0.375,0.4625
"libcamel",1.25499433954264,0.0225,0.7325
"libcanlock",0.861125065907518,0.4325,0.46
"libcdk",1.23155559112211,0.425,0.49
"libcfitsio",-2.5445873581661,0.97,0
"libchewing",1.05133431666055,0.4075,0.485
"libchewing.data",1.33646927457966,0.385,0.505
"libchm",1.09523894943872,0.0975,0.58
"libclass.singleton.perl",1.72466985685688,0.01,0.8375
"libcmdparse.ruby",1.09088555257221,0.415,0.4925
"libcommons.beanutils.java",-1.62610197999042,0.885,0.0025
"libcommons.collections.java",0.178057562670152,0.4975,0.18
"libcommons.digester.java",0.0309152029294345,0.5275,0.1475
"libcompizconfig.dev",0.724120075938766,0.4375,0.445
"libcompress.raw.zlib.perl",1.16264930161058,0.425,0.48
"libcompress.zlib.perl",0.957434883998318,0.3875,0.48
"libconfig.tiny.perl",0.933603159454322,0.37,0.4675
"libcrypt.twofish.perl",1.35397265540167,0.41,0.5225
"libct",0.88568175596043,0.3925,0.475
"libcucul",1.24322996409616,0.405,0.5
"libcupsys",-1.99564402419491,0.86,0.0375
"libcupsys.dev",1.00563697002548,0.41,0.47
"libcurl.openssl",0.901941769555553,0.39,0.4525
"libcvsservice",1.01861937602383,0.415,0.4975
"libcwidget",0.767806312185034,0.1425,0.225
"libdaemons.ruby",0.922760278859113,0.42,0.4575
"libdate.manip.perl",1.20262341539916,0.11,0.605
"libdatetime.format.mail.perl",1.18001288354246,0.2325,0.5375
"libdatetime.format.wcdtf.perl",1.22354385376202,0.2275,0.5675
"libdatetime.locale.perl",1.72222812896061,0.0175,0.8525
"libdatetime.perl",1.71327157215604,0.005,0.8625
"libdatetime.timezone.perl",1.90392854490138,0.0425,0.87
"libdb.compat",1.41360327566186,0.435,0.5025
"libdbd.mysql.perl",-0.269862732735711,0.6525,0.07
"libdbi.perl",-0.174871229918647,0.655,0.0725
"libdb.je.java",-0.106253036742245,0.59,0.125
"libdbus.qt",1.01685331007064,0.3775,0.4975
"libdes",0.890735632016499,0.4025,0.4675
"libdevhelp",0.069085980761769,0.5275,0.145
"libdigest.sha.perl",0.704635914524267,0.385,0.425
"libdirac",0.972217845494335,0.3575,0.4525
"libdivxdecore",0.961803066711165,0.4325,0.45
"libdivxencore",1.18005286609886,0.415,0.5
"libdm",1.11380792771382,0.425,0.465
"libdmx",1.35339179242869,0.0675,0.675
"libdps",-1.83643871628589,0.8675,0.02
"libdsocksd",1.06287137928374,0.3725,0.485
"libdumb",0.755983973841036,0.3875,0.4275
"libdvbpsi",0.700278977613423,0.1725,0.1625
"libdvdplay",1.96634813645272,0.39,0.53
"libebackend",1.5076462891967,0,0.9425
"libebook",1.37293111264349,0.005,0.895
"libecal",1.00554270202114,0.04,0.485
"libedata.book",1.46498611309736,0.0025,0.94
"libedata.cal",0.950375705371139,0.075,0.3925
"libedataserver",1.26064749193693,0.015,0.7525
"libedataserverui",0.917961344440488,0.1125,0.4125
"libeel",-1.88597118985421,0.8675,0.0325
"libeel.data",0.929729612660124,0.395,0.47
"libeet",1.34208686888847,0.45,0.47
"libegroupwise",0.974687485542177,0.4175,0.4425
"libemeraldengine",-1.49632332920716,0.7675,0.0975
"libemeraldengine.dbg",1.12601858567838,0.3625,0.505
"libemeraldengine.dev",0.841250310586128,0.4125,0.4375
"liberb.ruby",0.770042598037718,0.4,0.445
"libesd.alsa",1.12192909323162,0.41,0.5
"libespeak",0.888518260955642,0.125,0.3525
"libestools",0.191193383975197,0.43,0.1525
"libevent.execflow.perl",1.30009264129191,0.2525,0.56
"libevent.perl",1.18472298693555,0.2175,0.5675
"libevent.rpc.perl",1.12130686662551,0.2425,0.545
"libextutils.depends.perl",0.923832039263182,0.1475,0.41
"libextutils.pkgconfig.perl",0.988819636168588,0.1425,0.4475
"libfam",1.28960120492753,0.02,0.765
"libfame",0.948208611644494,0.3925,0.475
"libfcgildbl",0.982397601574715,0.41,0.4575
"libfcgi.ruby",0.78155959633422,0.44,0.4475
"libfreebob",1.18794360406537,0.405,0.4725
"libfreezethaw.perl",1.23919294019848,0.285,0.56
"libfuse.dev",2.27352894717257,0.0675,0.84
"libgadu",0.0843753306034426,0.5025,0.0475
"libgal",-3.18689016607654,0.89,0.03
"libgcj",0.915179140392828,0.22,0.4425
"libgcj.bc",1.41047803602582,0.2175,0.5975
"libgcj.common",-0.4628106105547,0.73,0.04
"libgcj.jar",1.57729931953327,0.4225,0.4775
"libgconf.ruby",1.35021504664307,0.4325,0.4975
"libgcroots",1.19928208477417,0.4175,0.5075
"libgda.common",1.16922253099642,0.3725,0.495
"libgdbmg",-2.44996880645478,0.87,0.0375
"libgd.gif",0.964187442224476,0.4,0.4875
"libgdict",-0.240479331395767,0.65,0.03
"libgdkcardimage",0.931191530408288,0.385,0.4725
"libgdl",0.0814178906203575,0.5525,0.1025
"libggadget",0.884171000181957,0.405,0.4525
"libggadget.qt",0.830397250234845,0.415,0.455
"libgimpprint",-2.33112352481207,0.8975,0.0225
"libgimpprint.dev",0.807169980141429,0.4525,0.4775
"libgksuui",0.791946197289799,0.4125,0.4275
"libglade.ruby",0.988547945747994,0.3925,0.46
"libgladeui",-0.0915212754570308,0.595,0.19
"libglide",-0.127535454994808,0.57,0.14
"libglpng",1.06339417667203,0.385,0.485
"libglut",-2.41175139360729,0.875,0.03
"libgmyth",1.03599714630865,0.435,0.46
"libgmythupnp",0.780881782630158,0.4,0.4125
"libgnet",3.96985145553358,0.0225,0.9375
"libgnomebt",0.86597831849907,0.3675,0.435
"libgnomecanvas.ruby",0.809773668980919,0.38,0.4525
"libgnomecups",-2.96270398902697,0.925,0.015
"libgnome.media",3.50348725402412,0.02,0.945
"libgnome.menu",1.04318287865476,0.065,0.5125
"libgnome.pilot",1.18465802271407,0.365,0.4925
"libgnomeprint",-2.59068051840463,0.975,0
"libgnomeprint.ruby",1.01019699183868,0.4125,0.47
"libgnomeprintui",-3.14296928632463,0.9775,0.0025
"libgnomeprintui.ruby",0.796078645245283,0.4075,0.4325
"libgnome.ruby",0.984390713356723,0.4075,0.4725
"libgnome.speech",-0.239936241404927,0.5975,0.125
"libgnomesupport",-2.41482740521061,0.895,0.0375
"libgnome.vfs",-0.186683048830162,0.5625,0.2
"libgnomevfs.ruby",1.04708994203363,0.405,0.4625
"libgnome.window.settings",0.945279192546191,0.4175,0.45
"libgnorba",-2.28752413478724,0.87,0.03
"libgnorbagtk",-2.00454410027497,0.8775,0.025
"libgoo.canvas.perl",0.482740282257178,0.3725,0.21
"libgpmg",-1.81552649045649,0.845,0.035
"libgps",0.567429026736779,0.2725,0.1425
"libgraphviz",0.981200902259789,0.2575,0.4975
"libgsmme",0.966948278422869,0.405,0.4225
"libgsnmp",0.952213597069808,0.3875,0.475
"libgstreamer.gconf",0.812366811918853,0.4325,0.45
"libgstreamer.plugins",0.886251559872289,0.3975,0.4475
"libgtk.gladexml.perl",0.0568730771252836,0.5575,0.105
"libgtkhtml.ruby",1.0836633354782,0.3725,0.4775
"libgtk.mozembed.ruby",1.1369471237971,0.3975,0.4875
"libgtksourceview.common",0.967965025004318,0.375,0.4575
"libgtksourceview.ruby",0.926585398388578,0.4025,0.4625
"libgucharmap",0.928429727485248,0.0725,0.4025
"libgweather",0.991206765047397,0.0725,0.4425
"libgweather.common",1.07167340989253,0.08,0.5325
"libhesiod",-2.05347741068466,0.8575,0.0275
"libhsqldb.java",0.430213271933678,0.355,0.17
"libhtml.strip.perl",0.979877475525844,0.3975,0.455
"libhttp.response.encoding.perl",0.945936991135062,0.395,0.475
"libhz",0.979632948963844,0.39,0.465
"libical",0.717075757635655,0.205,0.21
"libident",0.479809799190267,0.4,0.365
"libintl.perl",1.28017327080217,0.0725,0.67
