"package","D.Obs","P0","P1"
"desktop.defaults.icewm.antix",-2.12895400155749,0.7525,0.0875
"desktop.defaults.jwm.antix",-1.95622773676021,0.78,0.07
"desktop.defaults.rox.antix",-2.76638529328284,0.7825,0.09
"desktop.defaults.spacefm.antix",-3.51768017651915,0.815,0.0875
"desktop.file.utils",0.162993902226247,0.505,0.0625
"desktop.session.antix",-3.32040677593738,0.785,0.0975
"dh.python",0.46851207665773,0.265,0.06
"dialog",0.48695883877617,0.275,0.085
"dictionaries.common",-0.520509019709985,0.7525,0.0075
"diffutils",-2.49110201051916,0.945,0.0025
"dillo",-2.47459726080881,0.785,0.0675
"dkms",0.71826123791878,0.1725,0.195
"dmidecode",-2.7586619710631,0.96,0
"dmsetup",-2.52826302478581,0.9675,0
"dmz.cursor.theme",1.06821933445173,0.03,0.5525
"docbook.xml",0.75097817725118,0.1725,0.23
"dosbox",1.62278597384267,0.0925,0.7175
"dosfstools",0.162561884387346,0.49,0.1575
"dpkg",-2.7515049186847,0.96,0
"droopy.antix",-4.19134874735416,0.81,0.0875
"dvd.rw.tools",0.578255588107213,0.23,0.115
"dzen",-2.60139202538524,0.7725,0.0775
"e",-1.90545813603634,0.74,0.095
"efslibs",-2.641543829284,0.945,0
"efsprogs",-3.19296129455944,0.97,0
"eject",-0.572203019988908,0.6825,0.085
"elinks",0.781803804311744,0.265,0.415
"elinks.data",-0.143632465924692,0.54,0.2075
"emacsen.common",1.39261303780631,0.0125,0.875
"esound.common",1.06782032150803,0.045,0.5275
"ethtool",1.00465565805112,0.06,0.4775
"extlinux",1.44210215291686,0.015,0.7675
"faenza.cupertino.mini.icons",-2.57218331814723,0.78,0.065
"faq.docs.antix",-2.86461431292104,0.745,0.0925
"fbcat",-1.44284398429551,0.805,0.065
"fbsplash.antix",-2.02175337453755,0.78,0.0925
"fbxkb",-3.17895351795228,0.8325,0.0875
"feh",1.16358993903758,0.08,0.5775
"file",0.0345931585757975,0.54,0.0975
"file.roller",0.704268233249384,0.1725,0.18
"findutils",-2.67110503044427,0.9625,0
"firmware.adi",-0.391173464578203,0.59,0.1975
"firmware.atheros",0.263073533012671,0.395,0.04
"firmware.b.installer",1.28735720983483,0.0675,0.645
"firmware.bnx",0.371916919694379,0.335,0.065
"firmware.bnxx",0.066367869218253,0.555,0.045
"firmware.brcm",0.0884947933474823,0.5075,0.02
"firmware.intelwimax",0.902814215187742,0.13,0.3975
"firmware.ipw",-0.768589189695934,0.8275,0
"firmware.iwlwifi",-0.396724819051602,0.6975,0
"firmware.libertas",-0.209002024544406,0.66,0.015
"firmware.linux.free",-0.785177618301852,0.8375,0
"firmware.linux.nonfree",-0.534928581732373,0.7575,0.0025
"firmware.myricom",0.881988245459112,0.14,0.3925
"firmware.netxen",0.870782816198433,0.1525,0.37
"firmware.qlogic",0.938153365964518,0.1725,0.4325
"firmware.ralink",0.114969780994719,0.495,0.08
"firmware.realtek",-0.621991659804757,0.7825,0.005
"firmware.zd",0.431629614074063,0.3725,0.165
"flac",-0.0813000426462492,0.5875,0.07
"flashplugin.nonfree",0.545431253854318,0.3575,0.3175
"flashrom",-0.246836989402266,0.585,0.1225
"fluxbox",0.903799624991435,0.1875,0.4025
"fluxbox.themes.antix",-2.66064053553674,0.7975,0.0775
"fontconfig",-2.45811572418331,0.965,0.005
"fontconfig.config",-2.70066109708724,0.93,0.0025
"fonts.dejavu",1.51350722172493,0.005,0.945
"fonts.dejavu.core",0.44864955353344,0.3175,0.07
"fonts.dejavu.extra",1.13484256997565,0.045,0.6125
"fonts.opensymbol",0.935461019900586,0.06,0.3825
"fonts.vlgothic",0.0781433128907319,0.525,0.165
"fonts.wqy.microhei",0.498537483573546,0.365,0.19
"freeglut",1.09274759941352,0.085,0.575
"fuse",0.924431406781355,0.1525,0.415
"fxload",1.53104836937223,0.105,0.735
"gawk",0.893878031966164,0.11,0.3325
"gcolor",-3.77541625161438,0.795,0.085
"gconf",0.72587225420804,0.2975,0.3575
"gconf.common",-0.281468986505872,0.6675,0.04
"gconf.service",0.256369747759401,0.4175,0.07
"gdebi",0.50426295433035,0.2775,0.09
"gdebi.core",0.712550511278049,0.1725,0.1625
"geany",0.339831290847296,0.3825,0.095
"geany.common",0.717902578572391,0.2475,0.2575
"gecko.mediaplayer",-0.136699704966795,0.5425,0.18
