Rank ,Distribution ,H.P.D*,Year
25,Lite ,426,2013
26,Xubuntu ,422,2013
27,Ultimate ,417,2013
28,Antergos ,383,2013
29,Red Hat ,371,2013
30,antiX ,367,2013
31,Chakra ,362,2013
32,ROSA ,345,2013
33,Gentoo ,343,2013
34,Ubuntu GNOME ,335,2013
35,Peppermint ,326,2013
36,GhostBSD ,316,2013
37,KNOPPIX ,313,2013
38,Tails ,306,2013
39,Pinguy ,297,2013
40,PC-BSD ,289,2013
41,Simplicity ,283,2013
42,Mandriva ,267,2013
43,Scientific ,265,2013
44,Tiny Core ,262,2013
45,Porteus ,259,2013
46,Elive ,258,2013
47,Slax ,257,2013
48,Ubuntu Studio ,254,2013
49,ClearOS ,253,2013
50,BackBox ,247,2013
51,ZevenOS ,240,2013
52,Korora ,237,2013
53,Salix ,236,2013
54,ArchBang ,236,2013
55,Deepin ,230,2013
56,wattOS ,227,2013
57,Parted Magic ,225,2013
58,Netrunner ,225,2013
59,OpenELEC ,224,2013
60,Clonezilla ,221,2013
61,LXLE ,215,2013
62,DreamStudio ,213,2013
63,Damn Small ,213,2013
64,Frugalware ,209,2013
65,Pardus ,195,2013
66,MEPIS ,191,2013
67,OpenMandriva ,187,2013
68,SolydXK ,184,2013
69,Vector ,183,2013
70,FreeNAS ,181,2013
71,Bridge ,180,2013
72,Semplice ,178,2013
73,Parsix ,178,2013
74,DragonFly ,178,2013
75,Kwheezy ,177,2013
76,Slackel ,176,2013
77,OpenBSD ,175,2013
78,Oracle ,172,2013
79,UberStudent ,170,2013
80,siduction ,167,2013
81,SUSE ,166,2013
82,Macpup ,166,2013
83,Zenwalk ,164,2013
84,Descent|OS ,164,2013
85,Zentyal ,160,2013
86,Wifislax ,160,2013
87,SystemRescue ,156,2013
88,Solaris ,156,2013
89,UbuntuKylin ,155,2013
90,Unity ,153,2013
91,PureOS ,152,2013
92,Trisquel ,151,2013
93,Super OS ,151,2013
94,SliTaz ,149,2013
95,Linpus ,144,2013
96,Calculate ,143,2013
97,Alpine ,143,2013
98,NetBSD ,141,2013
99,AV Linux ,138,2013
100,GParted ,137,2013
1,Mint ,2897,2014
2,Ubuntu ,2022,2014
3,Debian ,1678,2014
4,openSUSE ,1278,2014
5,Fedora ,1268,2014
6,Mageia ,1237,2014
7,Arch ,1087,2014
8,elementary ,1029,2014
9,CentOS ,986,2014
10,Zorin ,913,2014
11,Puppy ,796,2014
12,Lubuntu ,754,2014
13,LXLE ,732,2014
14,Kali ,728,2014
15,PCLinuxOS ,708,2014
16,Manjaro ,638,2014
17,FreeBSD ,622,2014
18,Bodhi ,603,2014
19,Android-x86 ,581,2014
20,CrunchBang ,563,2014
21,Xubuntu ,557,2014
22,Ultimate ,531,2014
23,SparkyLinux ,500,2014
24,Deepin ,499,2014
25,Robolinux ,483,2014
26,Simplicity ,476,2014
27,Tails ,467,2014
28,Lite ,460,2014
29,Red Hat ,442,2014
30,Slackware ,430,2014
31,SteamOS ,404,2014
32,Kubuntu ,401,2014
33,Ubuntu GNOME ,396,2014
34,PC-BSD ,388,2014
35,KNOPPIX ,367,2014
36,antiX ,360,2014
37,Gentoo ,339,2014
38,Sabayon ,337,2014
39,Netrunner ,335,2014
40,Salix ,334,2014
41,OpenMandriva ,330,2014
42,SmartOS ,328,2014
43,Chakra ,328,2014
44,Scientific ,325,2014
45,MakuluLinux ,323,2014
46,GhostBSD ,322,2014
47,Tiny Core ,321,2014
48,SolydXK ,317,2014
49,KaOS ,312,2014
50,Tanglu ,302,2014
51,Peppermint ,302,2014
52,Pinguy ,295,2014
53,ReactOS ,292,2014
54,wattOS ,290,2014
55,Elive ,282,2014
56,Antergos ,280,2014
57,Clonezilla ,267,2014
58,Porteus ,260,2014
59,4MLinux ,252,2014
60,Ubuntu Studio ,248,2014
61,siduction ,248,2014
62,OpenELEC ,246,2014
63,ROSA ,243,2014
64,Alpine ,237,2014
65,Voyager ,233,2014
66,NixOS ,230,2014
67,BackBox ,227,2014
68,DragonFly ,226,2014
69,Oracle ,223,2014
70,SliTaz ,222,2014
71,Vector ,220,2014
72,Mandriva ,219,2014
73,ClearOS ,217,2014
74,AV Linux ,211,2014
75,ArchBang ,206,2014
76,Parsix ,202,2014
77,Trisquel ,201,2014
78,Ubuntu Kylin ,197,2014
79,GoboLinux ,196,2014
80,Korora ,192,2014
81,GParted ,192,2014
82,Zenwalk ,188,2014
83,Point ,188,2014
84,FreeNAS ,188,2014
85,SUSE ,187,2014
86,Wifislax ,185,2014
87,OpenBSD ,185,2014
88,Q4OS ,173,2014
89,Zentyal ,166,2014
90,MEPIS ,166,2014
91,DreamStudio ,166,2014
92,Solaris ,165,2014
93,Semplice ,165,2014
94,Bridge ,163,2014
95,ZevenOS ,160,2014
96,Slackel ,159,2014
97,Absolute ,156,2014
98,Emmabuntüs ,155,2014
99,Kwheezy ,153,2014
100,HandyLinux ,153,2014
1,Mint ,3084,2015
2,Debian ,1810,2015
3,Ubuntu ,1617,2015
4,openSUSE ,1341,2015
5,Fedora ,1148,2015
6,Mageia ,1026,2015
7,Manjaro ,1001,2015
8,CentOS ,945,2015
9,Arch ,802,2015
10,Android-x86 ,744,2015
11,elementary ,725,2015
12,LXLE ,720,2015
13,Kali ,644,2015
14,PCLinuxOS ,619,2015
15,Puppy ,596,2015
16,Zorin ,577,2015
17,Lubuntu ,561,2015
18,deepin ,504,2015
19,Simplicity ,496,2015
20,Lite ,483,2015
21,Bodhi ,447,2015
22,SteamOS ,431,2015
23,antiX ,422,2015
24,Netrunner ,410,2015
25,Xubuntu ,403,2015
26,FreeBSD ,402,2015
27,Q4OS ,393,2015
28,Ubuntu MATE ,391,2015
29,Black Lab ,385,2015
30,Robolinux ,384,2015
31,Tails ,378,2015
32,KaOS ,371,2015
33,Slackware ,370,2015
34,Sabayon ,364,2015
35,Kubuntu ,350,2015
36,MakuluLinux ,350,2015
37,SparkyLinux ,339,2015
38,Antergos ,336,2015
39,Solus ,328,2015
40,Tiny Core ,297,2015
41,Peppermint ,292,2015
42,Red Hat ,289,2015
43,Korora ,286,2015
44,PC-BSD ,286,2015
45,Gentoo ,285,2015
46,Ultimate ,284,2015
47,Chromixium ,278,2015
48,4MLinux ,275,2015
49,KNOPPIX ,266,2015
50,ArchBang ,262,2015
51,ClearOS ,259,2015
52,Ubuntu GNOME ,250,2015
53,Vector ,237,2015
54,BackBox ,234,2015
55,wattOS ,231,2015
56,Ubuntu Studio ,227,2015
57,ReactOS ,217,2015
58,Alpine ,216,2015
59,HandyLinux ,214,2015
60,DragonFly ,210,2015
61,Chakra ,209,2015
62,ROSA ,207,2015
63,Voyager ,207,2015
64,GhostBSD ,204,2015
65,Scientific ,202,2015
66,Clonezilla ,197,2015
67,0Linux ,196,2015
68,Pinguy ,196,2015
69,Elive ,189,2015
70,OpenELEC ,188,2015
71,OpenMandriva ,187,2015
72,NixOS ,185,2015
73,SolydXK ,185,2015
74,Oracle ,172,2015
75,CoreOS ,171,2015
76,Semplice ,171,2015
77,ExTiX ,166,2015
78,Tanglu ,166,2015
79,BlackArch ,164,2015
80,Neptune ,163,2015
81,GParted ,161,2015
82,OpenBSD ,161,2015
83,Absolute ,160,2015
84,Calculate ,158,2015
85,Mangaka ,155,2015
86,Ubuntu Kylin ,154,2015
87,Salix ,153,2015
88,Emmabuntüs ,150,2015
89,Parsix ,150,2015
90,siduction ,148,2015
91,SliTaz ,147,2015
92,Porteus ,146,2015
93,Solaris ,145,2015
94,LinuxConsole ,143,2015
95,Trisquel ,142,2015
96,AV Linux ,140,2015
97,Raspbian ,140,2015
98,Univention ,138,2015
99,SmartOS ,137,2015
100,Wifislax ,136,2015
