Distribution,HPD,Rank,Packages,Scope_width,Scope_special,Scope,Country,Parent,Parent_simple
Voyager,181,71,1891,2,0,"Desktop, Live Medium",France,Debian,Debian
HandyLinux,180,72,1592,4,2,"Beginners, Desktop, Live Medium, Old Computers",France,Debian,Debian
Clonezilla,178,73,499,1,1,Specialist,Taiwan,Debian,Debian
OpenBSD,177,74,9296,2,2,"Security, Server",Canada,Independent BSD,BSD
BlackArch,174,75,2561,3,2,"Live Medium, Security, Forensics",USA,Arch,Arch
Neptune,172,76,2315,2,0,"Desktop, Live Medium",Germany,Debian,Debian
SolydXK,172,77,2399,3,1,"Desktop, Live Medium, Raspberry Pi",Netherlands,Debian,Debian
Ubuntu Kylin,169,78,1941,2,0,"Desktop, Live Medium",China,Debian,Debian
siduction,167,79,1961,2,0,"Desktop, Live Medium",Germany,Debian,Debian
GParted,164,80,538,3,2,"Disk Management, Data Rescue, Live Medium",USA,Debian,Debian
Calculate,162,81,1440,4,2,"Desktop, Live Medium, Server, Source-based",Russia,Gentoo,Gentoo
Absolute,161,82,1026,2,1,"Desktop, Old Computers",USA,Slackware,Slackware
Oracle,160,83,4690,1,1,Server,USA,Red Hat,Red Hat
Tanglu,160,84,2328,2,0,"Desktop, Live Medium",Germany,Debian,Debian
Parsix,155,85,1886,2,0,"Desktop, Live Medium",Iran,Debian,Debian
Elive,153,86,1982,1,0,Live Medium,Belgium,Debian,Debian
Salix,153,87,758,2,0,"Desktop, Live Medium",Europe,Stackware,Slackware
Emmabuntüs,152,88,3065,4,2,"Beginners, Desktop, Live Medium, Old Computers",France,Debian,Debian
Univention,152,89,1806,1,1,Server,Germany,Debian,Debian
SmartOS,149,90,NA,2,1,"Specialist, Live Medium",USA,Solaris,Solaris
Trisquel,148,91,1993,4,2,"Free Software, Desktop, Live Medium, Education",Spain,Debian,Debian
SliTaz,147,92,234,4,2,"Desktop, Live Medium, Old Computers, Raspberry Pi",Switzerland,Independent,Other
Solaris,147,93,1699,2,2,"Server, UNIX",USA,Independent,Other
AV Linux,146,94,2640,3,0,"Desktop, Live Medium, Multimedia",Canada,Debian,Debian
Porteus,144,95,758,1,0,Live Medium,Ireland,Slackware,Slackware
Zenwalk,144,96,1024,2,0,"Desktop, Live Medium",France,Slackware,Slackware
