package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
numactl,2,6090,6450.3403403403,1798.9698171705,584.5,-0.2003037165,0.5845,999,0
numconv,1,NA,NA,NA,NA,NA,NA,999,NA
numdiff,1,NA,NA,NA,NA,NA,NA,999,NA
numptyphysics,2,1890,6401.5605605606,1828.0916882167,8,-2.4679071568,0.008,999,1
num-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nunit,1,NA,NA,NA,NA,NA,NA,999,NA
nunit-console,1,NA,NA,NA,NA,NA,NA,999,NA
nunit-gui,1,NA,NA,NA,NA,NA,NA,999,NA
nurpawiki,1,NA,NA,NA,NA,NA,NA,999,NA
nut,1,NA,NA,NA,NA,NA,NA,999,NA
nut-cgi,1,NA,NA,NA,NA,NA,NA,999,NA
nut-client,1,NA,NA,NA,NA,NA,NA,999,NA
nutcpc,1,NA,NA,NA,NA,NA,NA,999,NA
nutcracker,1,NA,NA,NA,NA,NA,NA,999,NA
nut-doc,1,NA,NA,NA,NA,NA,NA,999,NA
nut-ipmi,1,NA,NA,NA,NA,NA,NA,999,NA
nut-monitor,1,NA,NA,NA,NA,NA,NA,999,NA
nut-nutrition,1,NA,NA,NA,NA,NA,NA,999,NA
nut-nutrition-data,1,NA,NA,NA,NA,NA,NA,999,NA
nut-powerman-pdu,1,NA,NA,NA,NA,NA,NA,999,NA
nut-server,1,NA,NA,NA,NA,NA,NA,999,NA
