package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
node-media-typer,1,NA,NA,NA,NA,NA,NA,999,NA
node-merge-descriptors,1,NA,NA,NA,NA,NA,NA,999,NA
node-mess,1,NA,NA,NA,NA,NA,NA,999,NA
node-methods,1,NA,NA,NA,NA,NA,NA,999,NA
node-millstone,1,NA,NA,NA,NA,NA,NA,999,NA
node-mime,2,5534,6444.7547547548,1781.3195703574,192.5,-0.5112809458,0.1925,999,0
node-mime-types,1,NA,NA,NA,NA,NA,NA,999,NA
node-minimatch,2,5534,6396.8228228228,1833.4150236478,205,-0.470609661,0.205,999,0
node-mirror,1,NA,NA,NA,NA,NA,NA,999,NA
node-mkdirp,2,5534,6385.8478478479,1748.0195203028,209,-0.487321702,0.209,999,0
node-mocha virtual,1,NA,NA,NA,NA,NA,NA,999,NA
node-modestmaps,1,NA,NA,NA,NA,NA,NA,999,NA
node-monocle,1,NA,NA,NA,NA,NA,NA,999,NA
node-multiparty,1,NA,NA,NA,NA,NA,NA,999,NA
node-music-library-index,1,NA,NA,NA,NA,NA,NA,999,NA
node-mustache,1,NA,NA,NA,NA,NA,NA,999,NA
node-mute-stream,2,5534,6488.5705705706,1805.3772017104,196,-0.5287374681,0.196,999,0
node-mysql,1,NA,NA,NA,NA,NA,NA,999,NA
node-nan,1,NA,NA,NA,NA,NA,NA,999,NA
node-ncp,1,NA,NA,NA,NA,NA,NA,999,NA
node-negotiator,1,NA,NA,NA,NA,NA,NA,999,NA
node-node-redis,1,NA,NA,NA,NA,NA,NA,999,NA
node-node-uuid,2,5534,6449.6456456457,1841.9616434526,203.5,-0.4971035357,0.2035,999,0
node-nopt,2,5534,6509.1501501502,1833.8175512029,196.5,-0.5317596342,0.1965,999,0
node-normalize-package-data,2,5534,6353.4304304304,1882.4598990305,232,-0.435297682,0.232,999,0
node-npmlog,2,5534,6502.5165165165,1817.4091138904,200,-0.5329105643,0.2,999,0
node-nwmatcher,1,NA,NA,NA,NA,NA,NA,999,NA
node-oauth,1,NA,NA,NA,NA,NA,NA,999,NA
node-oauth-sign,1,NA,NA,NA,NA,NA,NA,999,NA
node-once,2,5534,6483.8238238238,1846.2670568158,199.5,-0.5144563569,0.1995,999,0
node-on-finished,1,NA,NA,NA,NA,NA,NA,999,NA
node-on-headers,1,NA,NA,NA,NA,NA,NA,999,NA
node-openid,1,NA,NA,NA,NA,NA,NA,999,NA
node-optimist,1,NA,NA,NA,NA,NA,NA,999,NA
node-osenv,2,5534,6489.963963964,1809.5169659339,179.5,-0.5282978728,0.1795,999,0
node-parseurl,1,NA,NA,NA,NA,NA,NA,999,NA
node-passport,1,NA,NA,NA,NA,NA,NA,999,NA
node-passport-oauth,1,NA,NA,NA,NA,NA,NA,999,NA
node-path-to-regexp,1,NA,NA,NA,NA,NA,NA,999,NA
node-pegjs,1,NA,NA,NA,NA,NA,NA,999,NA
node-peg virtual,1,NA,NA,NA,NA,NA,NA,999,NA
node-pend,1,NA,NA,NA,NA,NA,NA,999,NA
node-pg,1,NA,NA,NA,NA,NA,NA,999,NA
node-policyfile,1,NA,NA,NA,NA,NA,NA,999,NA
node-promise,1,NA,NA,NA,NA,NA,NA,999,NA
node-proxy-addr,1,NA,NA,NA,NA,NA,NA,999,NA
node-qs,2,5534,6454.5755755756,1814.9032756166,205.5,-0.5072312051,0.2055,999,0
node-queue-async,1,NA,NA,NA,NA,NA,NA,999,NA
node-range-parser,1,NA,NA,NA,NA,NA,NA,999,NA
node-raw-body,1,NA,NA,NA,NA,NA,NA,999,NA
node-read,2,5534,6356.7817817818,1806.2230859173,219.5,-0.4555261131,0.2195,999,0
node-readdirp,1,NA,NA,NA,NA,NA,NA,999,NA
node-read-package-json,2,5534,6375.6646646647,1867.7351095757,219.5,-0.4506338508,0.2195,999,0
node-redis,1,NA,NA,NA,NA,NA,NA,999,NA
node-request,2,5534,6451.6406406406,1810.4090332644,194.5,-0.5068692344,0.1945,999,0
node-require-all,1,NA,NA,NA,NA,NA,NA,999,NA
node-requirejs,1,NA,NA,NA,NA,NA,NA,999,NA
node-requirejs-text,1,NA,NA,NA,NA,NA,NA,999,NA
node-resolve,1,NA,NA,NA,NA,NA,NA,999,NA
node-response-time,1,NA,NA,NA,NA,NA,NA,999,NA
node-retry,2,5534,6476.0700700701,1801.6576026897,200.5,-0.5228907361,0.2005,999,0
node-rimraf,2,5534,6279.8598598599,1855.1364647881,234,-0.4020512097,0.234,999,0
node-sax,1,NA,NA,NA,NA,NA,NA,999,NA
node-security,1,NA,NA,NA,NA,NA,NA,999,NA
node-semver,2,5534,6307.958958959,1776.0001916325,216.5,-0.4357876551,0.2165,999,0
node-send,1,NA,NA,NA,NA,NA,NA,999,NA
node-serve-favicon,1,NA,NA,NA,NA,NA,NA,999,NA
node-serve-index,1,NA,NA,NA,NA,NA,NA,999,NA
node-serve-static,1,NA,NA,NA,NA,NA,NA,999,NA
node-sha,2,5534,6562.5515515516,1814.9040836255,191,-0.5667250192,0.191,999,0
node-should,1,NA,NA,NA,NA,NA,NA,999,NA
node-sigmund,2,5534,6352.8848848849,1815.9212333174,221,-0.4509473593,0.221,999,0
node-sink-test,1,NA,NA,NA,NA,NA,NA,999,NA
node-slide,2,5534,6471.7987987988,1755.8435784267,184,-0.5341015625,0.184,999,0
node-smash,1,NA,NA,NA,NA,NA,NA,999,NA
node-source-map,1,NA,NA,NA,NA,NA,NA,999,NA
node-sphericalmercator,1,NA,NA,NA,NA,NA,NA,999,NA
node-sqlite,1,NA,NA,NA,NA,NA,NA,999,NA
node-srs,1,NA,NA,NA,NA,NA,NA,999,NA
node-static,1,NA,NA,NA,NA,NA,NA,999,NA
node-step,1,NA,NA,NA,NA,NA,NA,999,NA
node-stylus,1,NA,NA,NA,NA,NA,NA,999,NA
node-superagent,1,NA,NA,NA,NA,NA,NA,999,NA
node-supertest,1,NA,NA,NA,NA,NA,NA,999,NA
node-tap,1,NA,NA,NA,NA,NA,NA,999,NA
node-tar,2,5534,6457.023023023,1755.9377258504,202,-0.5256581765,0.202,999,0
node-temp,1,NA,NA,NA,NA,NA,NA,999,NA
node-through,1,NA,NA,NA,NA,NA,NA,999,NA
node-tilejson,1,NA,NA,NA,NA,NA,NA,999,NA
node-tilelive,1,NA,NA,NA,NA,NA,NA,999,NA
node-tilelive-bridge,1,NA,NA,NA,NA,NA,NA,999,NA
node-tilelive-mapnik,1,NA,NA,NA,NA,NA,NA,999,NA
node-tilelive-vector,1,NA,NA,NA,NA,NA,NA,999,NA
